652.00,555.71,513.55,526.40,525.61,525.61,526.35,143.51,259.40,413.34,429.12,276.53,306.68,381.55,191.15,0.00,235.35,336.14,0.00,0.00,220.03,200.42,506.62,468.29,389.60,513.88,510.23,527.69,182.18,0.00,395.05,0.00,281.98,504.42,523.13,524.92,514.84,248.11,425.67,210.42,503.86,380.02,379.79,447.04,425.13,437.47,392.69,473.61,522.32,460.40,349.93,473.70,338.10,381.31,289.50,527.27,291.60,384.84,449.37,309.86,262.34,241.33,510.41,235.54,301.64,468.14,364.14,503.02,174.57,332.98,415.57,393.82,431.25,398.49,410.41,454.61,462.99,459.53,436.05,268.77,344.54,487.90
555.71,652.00,554.10,574.56,573.29,573.30,573.99,152.64,271.43,434.79,452.26,286.73,318.76,399.06,200.30,0.00,244.50,349.43,0.00,0.00,228.95,211.11,539.31,497.18,407.74,547.58,542.99,572.27,190.39,0.00,412.36,0.00,293.49,540.03,560.95,564.28,549.49,257.61,444.65,220.70,541.70,397.59,397.09,471.02,444.42,460.08,409.34,503.52,563.45,483.13,365.46,501.61,352.89,398.83,302.23,575.98,304.48,402.54,472.90,324.47,275.10,251.94,546.93,244.61,315.88,497.00,381.66,533.22,183.36,346.14,433.61,410.26,451.23,417.17,428.07,479.38,489.02,486.87,458.69,281.06,358.38,517.91
513.55,554.10,652.00,579.39,574.27,574.27,589.99,154.46,272.91,435.14,454.79,288.29,319.55,401.17,201.52,0.00,245.88,351.09,0.00,0.00,230.29,211.90,539.99,497.68,409.38,542.92,542.91,573.23,191.60,0.00,414.58,0.00,295.16,541.08,558.83,565.15,547.08,259.12,447.00,221.43,542.39,400.97,399.39,475.29,448.19,464.89,411.50,506.65,568.09,485.86,367.16,502.12,354.58,400.83,303.76,576.99,306.04,404.56,475.89,326.16,276.67,253.42,554.23,246.08,317.61,499.90,383.76,536.74,185.31,348.88,437.16,412.20,451.61,419.11,430.39,479.82,489.49,487.34,461.40,283.27,361.22,518.49
526.40,574.56,579.39,652.00,620.56,620.57,612.78,157.88,278.33,447.12,465.75,293.93,325.76,409.57,206.10,0.00,250.94,358.16,0.00,0.00,235.14,216.58,565.44,515.02,418.64,565.68,563.09,618.07,196.07,0.00,423.48,0.00,300.82,563.33,587.29,602.11,571.28,264.27,457.61,226.07,568.57,408.04,407.51,486.03,457.37,474.16,420.32,522.24,600.67,499.32,374.69,520.06,361.73,409.32,309.75,628.06,312.05,413.20,488.08,332.51,282.07,258.50,575.63,251.06,323.72,514.82,391.46,557.65,188.95,354.77,445.87,421.28,464.64,428.53,440.01,495.18,505.87,503.47,472.66,288.15,367.38,538.98
525.61,573.29,574.27,620.56,652.00,651.80,610.33,157.68,278.07,446.64,465.22,293.65,325.46,409.16,205.88,0.00,250.69,357.83,0.00,0.00,234.91,216.35,564.30,514.30,418.22,564.54,561.99,615.27,195.85,0.00,423.05,0.00,300.54,562.22,585.77,600.17,570.07,264.01,458.22,225.84,567.39,407.63,407.11,485.43,456.86,473.61,419.89,521.48,598.78,498.67,374.33,519.31,361.39,408.92,309.46,624.24,311.76,412.79,487.47,332.20,281.80,258.25,574.34,250.81,323.42,514.10,391.08,556.61,188.74,354.44,445.39,420.85,464.11,428.09,439.55,494.55,505.19,502.81,472.11,287.87,367.03,538.11
525.61,573.30,574.27,620.57,651.80,652.00,610.34,157.68,278.07,446.64,465.22,293.65,325.46,409.16,205.88,0.00,250.69,357.83,0.00,0.00,234.91,216.35,564.30,514.30,418.22,564.55,561.99,615.28,195.85,0.00,423.05,0.00,300.54,562.22,585.78,600.17,570.07,264.01,458.22,225.84,567.39,407.63,407.11,485.43,456.86,473.61,419.89,521.48,598.78,498.67,374.33,519.31,361.39,408.92,309.46,624.24,311.76,412.79,487.47,332.20,281.80,258.25,574.34,250.81,323.42,514.11,391.08,556.61,188.74,354.44,445.39,420.85,464.11,428.09,439.55,494.55,505.19,502.81,472.11,287.87,367.03,538.11
526.35,573.99,589.99,612.78,610.33,610.34,652.00,157.12,277.33,445.31,463.75,292.88,324.62,408.03,205.26,0.00,250.01,356.89,0.00,0.00,234.25,215.72,561.22,512.32,417.04,561.46,558.98,608.43,195.25,0.00,421.85,0.00,299.76,559.21,581.75,595.11,566.78,263.30,455.69,225.19,564.20,406.51,405.99,483.79,455.45,472.07,418.71,519.39,593.84,496.89,373.35,517.25,360.44,407.79,308.66,615.66,310.96,411.64,485.81,331.34,281.06,257.55,570.88,250.12,322.58,512.12,390.03,553.77,188.14,353.51,444.06,419.66,462.65,426.87,438.26,492.81,503.33,500.98,470.59,287.12,366.07,535.72
143.51,152.64,154.46,157.88,157.68,157.68,157.12,652.00,125.02,123.82,150.15,78.67,90.53,124.47,4.30,0.00,35.15,84.41,0.00,0.00,22.02,7.38,151.14,142.21,111.76,151.19,151.11,157.52,-0.27,0.00,113.25,0.00,57.28,151.27,154.45,156.16,152.12,40.14,125.08,26.24,151.68,105.97,106.96,134.82,126.06,131.79,110.51,142.71,156.02,136.77,90.79,142.57,88.04,107.64,60.18,158.10,61.01,110.29,135.11,71.18,50.66,41.55,153.59,32.30,67.44,142.06,101.68,150.31,3.32,88.08,123.61,110.98,129.34,115.95,123.36,135.16,138.13,140.13,136.23,61.01,101.43,146.91
259.40,271.43,272.91,278.33,278.07,278.07,277.33,125.02,652.00,231.46,252.60,162.40,177.52,228.84,81.92,0.00,118.92,181.64,0.00,0.00,101.61,88.49,269.47,255.56,216.50,269.52,268.93,277.85,73.42,0.00,217.85,0.00,145.28,269.53,273.81,276.07,270.75,132.54,232.71,107.82,270.17,210.42,209.60,247.46,235.48,243.55,215.89,258.42,275.87,249.92,189.89,258.15,183.92,210.28,150.47,278.62,153.38,212.45,246.05,165.95,137.65,125.20,272.61,115.60,165.53,256.95,200.96,267.63,78.80,186.55,234.50,219.31,239.94,223.46,231.44,249.51,254.10,254.14,249.23,150.80,199.50,263.17
413.34,434.79,435.14,447.12,446.64,446.64,445.31,123.82,231.46,652.00,381.64,241.78,268.99,335.84,162.88,0.00,203.43,296.52,0.00,0.00,189.21,172.49,431.37,407.16,343.44,431.47,430.99,446.24,155.08,0.00,346.38,0.00,246.95,430.53,438.99,443.02,433.60,215.74,370.98,182.01,432.58,335.14,334.26,389.83,371.25,382.90,344.00,411.12,442.67,398.04,309.03,409.94,298.50,336.30,254.70,447.65,257.57,339.35,391.95,273.51,230.06,210.89,435.16,203.66,266.65,407.72,322.91,428.20,148.20,292.71,364.32,345.27,376.90,350.13,359.23,395.53,401.92,400.52,382.30,238.51,304.09,419.71
